co,no2,o3,pm1,pm10,pm25,relativehumidity,temperature,um003
0.0,0.0,0.0,0.0,0.0,26.8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,18.441315789473684,0.0,0.0,0.0
0.0,0.0,0.0,1.9578185008998696,0.0,4.714796723807325,47.42688461867246,32.28337777262986,366.14378486980087
0.0,0.0,0.0,22.96488093113413,0.0,36.526913386623875,66.38796758976113,25.15905608611853,1377.594387755102
0.0,0.0,0.0,0.0,0.0,11.579999999999998,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,13.941282051282052,0.0,0.0,0.0
0.29375,27.625,81.9375,0.0,39.5,8.25,71.3125,27.60625,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,15.544052100843855,0.0,24.23246357838313,37.52347910404205,17.15429166621632,2978.8826353285044
0.0,0.0,0.0,2.6118645852354043,0.0,5.715968756212129,51.43395137786865,30.632869859536488,400.80103121863476
